Don’t know/Refused,Favor,Field End Date,Field period,Margin of Sampling Error,Method,N,Number of Records,Oppose,Organization,Medicare-for-all,Question wording,Sample,Somewhat favor,Somewhat oppose,Strongly/Very favor,Strongly/Very oppose,Subsample,URL
1,38,1/16/2017,"January 12-16, 2017",4,live interview telephone and online,1036,1,39,Associated Press-NORC,"Does not include ""Medicare-for-all""","Would you favor or oppose a single payer health care system, in which all Americans would get their health insurance from one government plan?",All adults,19,14,19,25,Total,AP/NORC Poll
2,42,4/14/2019,"April 11-14, 2019",4,live interview telephone and online,1108,1,31,Associated Press-NORC,"Does not include ""Medicare-for-all""","Would you favor or oppose, or neither favor nor oppose a single payer health care system, in which all Americans would get their health insurance from one government plan?",All adults,26,11,16,21,Total,AP/NORC Poll
4,66,10/2/2019,"September 26-October 2, 2019",3,live interview telephone,1292,1,30,CBS News,"Does not include ""Medicare-for-all""","Would you favor or oppose the U.S. creating a national, government-administered health insurance
plan – something like the Medicare coverage that people 65 and older get - that would be available to
all individuals?",All adults,,,,,Total,CBS News Poll
9,44,2/16/2016,"February 12-16, 2016",2,live interview telephone,2007,1,47,CBS News,"Does not include ""Medicare-for-all""","Would you favor or oppose a single payer health care system, in which all Americans would get their health insurance from one government plan that is financed by taxes?",All adults,,,,,Total,CBS News Poll
5,54,2/2/2019,"January 30-February 2, 2019",4,live interview telephone,1011,1,41,CNN,"Does not include ""Medicare-for-all""","Do you think the government should provide a national health insurance program for all Americans, even if this would require higher taxes?",All adults,,,,,Total,CNN Poll
3,58,8/6/2017,"August 3-6, 2017",4,live interview telephone,1018,1,39,CNN,"Does not include ""Medicare-for-all""","Do you think the government should provide a national health insurance program for all Americans, even if this would require higher taxes?",All adults,,,,,Total,CNN Poll
23,46,8/21/2018,"August 19-21, 2018",3,live interview telephone,1009,1,31,Fox News,"Includes ""Medicare-for-all""","In general, do you favor or oppose the U.S. moving to a national single-payer health plan, often called Medicare for all?",Registered voters,,,,,Total,Fox News Poll
6,47,2/12/2019,"February 10-12, 2019",3,live interview telephone,1004,1,47,Fox News,"Does not include ""Medicare-for-all""",Do you favor or oppose the United States implementing a national health insurance program for all Americans that would be run by the federal government and paid for through taxes?,Registered voters,,,,,Total,Fox News Poll
9,43,7/23/2019,"July 21-23, 2019",3,live interview telephone,1004,1,48,Fox News,"Does not include ""Medicare-for-all""",I am going to mention several policy proposals. For each one please tell me if you favor or oppose the idea. What about getting rid of private health insurance and moving to a government-run health care system for everyone?,Registered voters,22,17,22,31,Total,Fox News Poll
7,46,9/17/2019,"September 15-17, 2019",,live interview telephone,,1,48,Fox News,"Does not include ""Medicare-for-all""",I am going to mention several policy proposals. For each one please tell me if you favor or oppose the idea. What about getting rid of private health insurance and moving to a government-run health care system for everyone?,Registered voters,22,19,23,29,Total,Fox News Poll
6,47,10/30/2019,"October 27-30, 2019",3,live interview telephone,1040,1,47,Fox News,"Does not include ""Medicare-for-all""",I am going to mention several policy proposals. For each one please tell me if you favor or oppose the idea. What about getting rid of private health insurance and moving to a government-run health care system for everyone?,Registered voters,23,17,24,30,Total,Fox News Poll
6,41,12/11/2019,"December 8-11, 2019",3,live interview telephone,1000,1,53,Fox News,"Does not include ""Medicare-for-all""",I am going to mention several policy proposals. For each one please tell me if you favor or oppose the idea. What about getting rid of private health insurance and moving to a government-run health care system for everyone?,Registered voters,21,18,20,35,Total,Fox News Poll
61,17,11/8/2017,"November 2-8, 2017",4,live interview telephone,1028,1,21,Gallup,"Includes ""Medicare-for-all""","As you may know, some senators have proposed a ""Medicare-for-all,"" single-payer health insurance program that would be administered by the federal government and financed through taxes. Please tell me if you favor or oppose this proposal, or if you don't know enough to say?",All adults,,,,,Total,Gallup Poll
2,56,1/14/2019,"January 9-14, 2019",3,live interview telephone,1190,1,42,KFF,"Includes ""Medicare-for-all""","Do you favor or oppose having a national health plan, sometimes called Medicare-for-all, in which all Americans would get their insurance from a single government plan?",All adults,22,10,34,32,Total,KFF Health Tracking Poll
3,59,3/13/2018,"March 8-13, 2018",3,live interview telephone,1212,1,38,KFF,"Includes ""Medicare-for-all""","Do you favor or oppose having a national health plan, or Medicare-for-all, in which all Americans would get their insurance from a single government plan?",All adults,22,10,37,28,Total,KFF Health Tracking Poll
4,53,9/18/2017,"September 13-18, 2017",5,live interview telephone,598,1,43,KFF,"Does not include ""Medicare-for-all""",Do you favor or oppose having a national health plan - or a single-payer plan- in which all Americans would get their insurance from a single government plan?,All adults,21,14,32,28,Total,KFF Health Tracking Poll
3,55,9/18/2017,"September 13-18, 2017",5,live interview telephone,581,1,43,KFF,"Includes ""Medicare-for-all""",Do you favor or oppose having a national health plan - or Medicare-for-all- in which all Americans would get their insurance from a single government plan?,All adults,22,12,33,31,Total,KFF Health Tracking Poll
4,53,6/19/2017,"June 14-19, 2017",5,live interview telephone,597,1,43,KFF,"Does not include ""Medicare-for-all""",Do you favor or oppose having a national health plan - or a single-payer plan- in which all Americans would get their insurance from a single government plan?,All adults,22,16,31,26,Total,KFF Health Tracking Poll
5,57,6/19/2017,"June 14-19, 2017",5,live interview telephone,611,1,38,KFF,"Includes ""Medicare-for-all""",Do you favor or oppose having a national health plan - or Medicare-for-all- in which all Americans would get their insurance from a single government plan?,All adults,23,12,34,26,Total,KFF Health Tracking Poll
7,50,2/18/2016,"February 10-18, 2016",3,live interview telephone,1202,1,43,KFF,"Does not include ""Medicare-for-all""",Do you favor or oppose having guaranteed health insurance coverage in which all Americans would get their insurance through a single government plan?,All adults,23,13,27,30,Total,KFF Health Tracking Poll
6,57,2/24/2019,"February 14-24, 2019",3,live interview telephone,1440,1,37,KFF,"Includes ""Medicare-for-all""","Do you favor or oppose having a national health plan, sometimes called Medicare-for-all, in which all Americans would get their insurance from a single government plan?",All adults,24,11,33,26,Total,KFF Health Tracking Poll
