,created_at,text,user.id,sentiment
0,Wed Mar 04 23:55:19 +0000 2020,"RT @TenaciousE5: Very few countries have single payer systems. None have single payer systems like Medicare For All. Period. 
Most other co…",275714700,Negative
1,Wed Mar 04 23:53:56 +0000 2020,"RT @MyLifeIsMunitz: Hypothetical: Bernie Sanders endorses Joe Biden in exchange for becoming Joe's Vice President, Medicare for All Single-…",1.20E+18,Positive
2,Wed Mar 04 23:52:06 +0000 2020,"Hypothetical: Bernie Sanders endorses Joe Biden in exchange for becoming Joe's Vice President, Medicare for All Sin… https://t.co/AhqSYv6wXL",7.15E+17,Positive
3,Wed Mar 04 23:52:01 +0000 2020,@ThPnyx We’ve been trying to get UHC since 1933 - which led to the creation of private health insurance instead. Th… https://t.co/yPAhBQqHAq,232638078,Neutral
4,Wed Mar 04 23:51:28 +0000 2020,"RT @TenaciousE5: Very few countries have single payer systems. None have single payer systems like Medicare For All. Period. 
Most other co…",18590142,Negative
5,Wed Mar 04 23:50:08 +0000 2020,RT @VernorsOfficial: Joe Biden needs to either reconsider using his son’s death by brain cancer in his speeches to gain support OR reconsid…,61800268,Neutral
6,Wed Mar 04 23:46:22 +0000 2020,"@coldxman @ZaidJilani “[AA] support a single-payer health-care plan more than other groups, at 74%, compared with 4… https://t.co/puvdCQ4Ejx",1.04E+18,Positive
7,Wed Mar 04 23:43:57 +0000 2020,"@baddestmamajama That said.

I think it's fair to say that criticisms against Warren were valid, and calling her ou… https://t.co/UxOPILFhPD",1.17E+18,Positive
8,Wed Mar 04 23:38:36 +0000 2020,"RT @crulge: Here it is! Medicare For You presents: ""Medicare For All In 90 Seconds."" The first of many videos about topics related to singl…",16099432,Positive
9,Wed Mar 04 23:33:29 +0000 2020,"Joe Biden doesn't care about taxing Amazon, or Burger King. That means no Medicare expansion, no single payer. Bide… https://t.co/Swb8SaettP",854084702,Positive
10,Wed Mar 04 23:26:51 +0000 2020,"RT @crulge: Here it is! Medicare For You presents: ""Medicare For All In 90 Seconds."" The first of many videos about topics related to singl…",299539882,Positive
11,Wed Mar 04 23:22:48 +0000 2020,"RT @TenaciousE5: Very few countries have single payer systems. None have single payer systems like Medicare For All. Period. 
Most other co…",88794361,Negative
12,Wed Mar 04 23:22:37 +0000 2020,Medicare for All is Unexceptable. I’ve asked who the Single Payer would Be and have gotten No response Which tells… https://t.co/KyZJHOSzEj,551738450,Negative
13,Wed Mar 04 23:22:18 +0000 2020,"RT @crulge: Here it is! Medicare For You presents: ""Medicare For All In 90 Seconds."" The first of many videos about topics related to singl…",8.34E+17,Positive
14,Wed Mar 04 23:12:15 +0000 2020,"RT @TenaciousE5: Very few countries have single payer systems. None have single payer systems like Medicare For All. Period. 
Most other co…",360201349,Negative
15,Wed Mar 04 23:04:24 +0000 2020,@SeanQ316 @solipsisticfart @ScottishGirth @LeftistKaiju @martunmed @Nick_Offerman With single payer Medicare for Al… https://t.co/6r7LyUVy5g,460975308,Negative
16,Wed Mar 04 23:03:47 +0000 2020,"@amyklobuchar @JoeBiden Biden is worse than HRC as a candidate, she once advocated for Single Payer, Medicare for a… https://t.co/ct5MtfK7pb",4808985928,Negative
17,Wed Mar 04 22:51:53 +0000 2020,"RT @danielahanley: Biden is getting victories, yet most people favor:
• Medicare for All (https://t.co/vLSIp81DP6) 
• Free College/Cancelat…",4049811659,Positive
18,Wed Mar 04 22:47:37 +0000 2020,RT @TenaciousE5: He and Joe should have a debate about “why the United States is the only major country on earth not to guarantee healthcar…,793199797,Positive
19,Wed Mar 04 22:46:28 +0000 2020,"Here is that latest study that shows that #MedicareForAll single-payer health-care system would save more than 68,0… https://t.co/qtlc14xeIr",1050871214,Positive
